date,entry_time,exit_time,direction,outcome,or_high,or_low,breakout_time,breakout_price,retest_price,entry_price,target_price,stop_price,rsi,rel_volume,price_to_vwap,price_to_ema9,or_range_pct,macd,macd_signal,adx,hammer,shooting_star,features
2024-12-31,2024-12-31 09:45:00,,LONG,-1,517.7,517.25,2024-12-31 09:38:00,517.75,518.07,518.07,520.66035,516.7748250000001,72.30949313399402,1.27087545869842,5.404967164834851e-05,0.0004221465728670992,0.08699855002417506,0.38394946073617575,0.41337948691018606,47.332811222310845,False,False,"[np.float64(-0.00011587933098988756), np.float64(0.013521083231912912), np.float64(0.00038627189678819285), np.float64(0.038627189678823705), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(7.722156798384283e-05), np.float64(0.007722156798386767), np.float64(0.7230949313399403), np.float64(0.4236251528994733), np.float64(0.38394946073617575), np.float64(0.41337948691018606), np.float64(0.47332811222310844), 0, 0]"
2024-12-31,2024-12-31 12:57:00,2024-12-31 13:00:00,SHORT,-1,517.7,517.25,2024-12-31 12:56:00,517.01,516.94,516.94,514.3553,518.23235,19.652337525607535,1.4082623484606216,-0.00023536842895133248,-0.0008516299747494127,0.08699855002417506,-0.23401658788600344,-0.15586386095539576,37.0348241157143,False,False,"[np.float64(7.728273890017512e-05), np.float64(0.0077282738900196326), np.float64(-0.0001950899152034502), np.float64(0.021444758495310166), np.float64(-0.00013523434179518734), np.float64(0.015457742396730867), np.float64(-0.00027058368766907925), np.float64(0.027065692301741166), np.float64(-0.0003866228494102675), np.float64(0.05609175837990825), np.float64(0.19652337525607536), np.float64(0.4694207828202072), np.float64(-0.23401658788600344), np.float64(-0.15586386095539576), np.float64(0.370348241157143), 0, 0]"
2025-01-02,2025-01-02 10:59:00,,LONG,1,515.49,515.25,2025-01-02 10:00:00,515.76,515.53,515.53,518.1076499999999,514.241175,56.48876157191414,1.572575951577232,0.00013871145785748773,0.00041474896850557386,0.04657933042212695,0.042325774772280056,0.033123073949784546,12.962033887867493,False,False,"[np.float64(-0.0005824111822948508), np.float64(0.05827505827507153), np.float64(-5.8258083309281616e-05), np.float64(0.0058261477511237485), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5648876157191414), np.float64(0.5241919838590773), np.float64(0.042325774772280056), np.float64(0.033123073949784546), np.float64(0.12962033887867494), 0, 0]"
2025-01-02,2025-01-02 09:39:00,,SHORT,-1,515.49,515.25,2025-01-02 09:38:00,515.01,514.67,514.67,512.09665,515.9566749999999,43.696649510538435,2.0712754555198285,-0.00013016355925454803,-0.0009666657773845788,0.04657933042212695,0.2389874939309493,0.42231394201483635,38.21481711767358,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(-5.8247903075403507e-05), np.float64(0.0058251296091285055), 0, 0, 0, 0, 0, 0, np.float64(0.4369664951053844), np.float64(0.6904251518399428), np.float64(0.2389874939309493), np.float64(0.42231394201483635), np.float64(0.38214817117673583), 0, 0]"
2025-01-03,2025-01-03 09:42:00,,LONG,-1,512.91,512.7,2025-01-03 09:40:00,512.97,513.02,513.02,515.5850999999999,511.73745,60.40594159783794,2.9234338747099766,-1.890728743392245e-05,0.00023930152264250992,0.040959625511980235,0.12707709540802625,0.1572286717664965,28.364188589475052,False,True,"[np.float64(1.9501540621691404e-05), np.float64(0.001950154062169138), np.float64(0.00013650546021848342), np.float64(0.01365054602185063), np.float64(0.00011701608971215194), np.float64(0.011701608971222903), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6040594159783794), np.float64(0.9744779582366588), np.float64(0.12707709540802625), np.float64(0.1572286717664965), np.float64(0.28364188589475053), 0, 1]"
2025-01-03,2025-01-03 10:02:00,,SHORT,1,512.91,512.7,2025-01-03 10:01:00,512.5,512.43,512.43,509.86785,513.7110749999999,35.95701479779872,1.4995110290122786,-3.590605415104697e-05,-0.0005653945244237235,0.040959625511980235,-0.01475121248790856,0.05168758310027228,17.993777808026085,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-9.747538746485152e-05), np.float64(0.009748488984220748), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.3595701479779872), np.float64(0.49983700967075956), np.float64(-0.01475121248790856), np.float64(0.05168758310027228), np.float64(0.17993777808026085), 0, 0]"
2025-01-06,2025-01-06 09:53:00,,LONG,1,522.01,521.66,2025-01-06 09:45:00,522.04,522.29,522.29,524.90145,520.984275,70.73501189801885,3.082589080195194,1.8380931009476242e-05,0.00037792685245441326,0.06709350918223034,0.18112119906379576,0.1739836535229502,31.681769849187884,False,False,"[np.float64(3.8312708325216605e-05), np.float64(0.0038312708325316676), np.float64(-3.830610407762336e-05), np.float64(0.003830757149147045), np.float64(-9.575792396809835e-05), np.float64(0.0095767094426268), np.float64(0.0002681632731242889), np.float64(0.026816327312426752), np.float64(0.0), np.float64(0.005745145352193957), np.float64(0.7073501189801885), 1, np.float64(0.18112119906379576), np.float64(0.1739836535229502), np.float64(0.31681769849187885), 0, 0]"
2025-01-06,2025-01-06 19:58:00,2025-01-06 20:24:00,SHORT,-1,522.01,521.66,2025-01-06 13:00:00,518.95,522.49,522.49,519.87755,523.7962249999999,28.544078347279836,1.6969463799712166,5.741769651734785e-06,-0.0009595680131913031,0.06709350918223034,-0.15554834301224219,-0.0703596977456986,27.911770259432476,False,False,"[np.float64(0.0001337894917909921), np.float64(0.03440432729982414), np.float64(-5.733287467024617e-05), np.float64(0.015290227633249984), np.float64(-3.822410794485087e-05), np.float64(0.03631984401583824), np.float64(-0.0002865006402782422), np.float64(0.04588822393453454), np.float64(-0.000955876730136862), np.float64(0.12250210550493575), np.float64(0.28544078347279833), np.float64(0.5656487933237389), np.float64(-0.15554834301224219), np.float64(-0.0703596977456986), np.float64(0.2791177025943248), 0, 0]"
2025-01-07,2025-01-07 10:12:00,,LONG,1,524.86,524.63,2025-01-07 09:39:00,524.99,524.59,524.59,527.21295,523.2785250000001,59.589284971639316,1.5467015022860875,7.473060759810579e-05,0.0005658936155314986,0.0438404208680438,-0.03756018862895871,-0.11667634628255628,18.22725051397315,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00034330180042707603), np.float64(0.03433018004271246), np.float64(0.5958928497163931), np.float64(0.5155671674286958), np.float64(-0.03756018862895871), np.float64(-0.11667634628255628), np.float64(0.1822725051397315), 0, 0]"
2025-01-07,2025-01-07 09:46:00,,SHORT,-1,524.86,524.63,2025-01-07 09:45:00,524.44,524.24,524.24,521.6188,525.5506,30.669339150274595,1.8531889290012034,-0.00012721561635575807,-0.0007321650113116807,0.0438404208680438,-0.07421914056021706,-0.032435861688360934,19.04931167131621,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(-0.00017146123071065666), np.float64(0.017149063470595423), np.float64(9.529073202330096e-05), np.float64(0.009529073202331673), np.float64(-1.9058872858468412e-05), np.float64(0.0019059236106016226), np.float64(-0.00015251167667507115), np.float64(0.0209747540233201), np.float64(0.30669339150274594), np.float64(0.6177296430004011), np.float64(-0.07421914056021706), np.float64(-0.032435861688360934), np.float64(0.1904931167131621), 0, 0]"
